metric,site,raw_value
VIVI_on_TRFU,Bertha_2022,0.3616926
VIVI_on_TRFU,Goatgrass_2022,0.2646665
VIVI_on_TRFU,Long_2022,0.6618111
VIVI_on_TRFU,Rock_2022,0.2798928
VIVI_on_TRFU,Aikawa_2022,0.1100104
VIVI_on_TRFU,Quarry_2022,0.02754397
VIVI_on_TRFU,Bertha_2023,0
VIVI_on_TRFU,Quarry1_2023,0
VIVI_on_TRFU,Rock_2023,0.1333333
VIVI_on_TRFU,Rock_2024,0.03525641
VIVI_on_TRFU,Upper_Grid_2_2024,0.02154472
VIVI_on_TRFU,Anu_2024,0.231765
VIVI_on_TRFU,Quarry_1_2024,0.05400155
VIVI_on_TRFU,Quarry_2_2024,0.2032967
VIVI_on_TRFU,Quarry_3_2024,0.1577374
VIVI_on_TRFU,Quarry_4_2024,0.03950617
VIVI_on_TRFU,Quarry_5_2024,0.003367003
VIVI_on_TRFU,Goatgrass_2024,0.1796878
VIVI_on_TRFU,South_Goatgrass_2024,0.2646863
VIVI_on_TRFU,Aikawa_2024,0
VIVI_on_TRFU,Felch_2024,0.3383574
VIVI_on_TRFU,Coyote_24,0.6381596
Ind_Contribution_VIVI,Bertha_2022,1.6024201
Ind_Contribution_VIVI,Quarry_2022,0.611538137
Ind_Contribution_VIVI,Rock_2022,1.6245449
Ind_Contribution_VIVI,Long_2022,4.22585747
Ind_Contribution_VIVI,Goatgrass_2022,2.57068271
Ind_Contribution_VIVI,Aikawa_2022,3.5792522
Ind_Contribution_VIVI,Rock_2023,0.8674246
Ind_Contribution_VIVI,Quarry1_2023,0.7804435
Ind_Contribution_VIVI,Bertha_2023,2.46325537
Ind_Contribution_VIVI,Rock_2024,0.620965567
Ind_Contribution_VIVI,Upper_Grid_2_2024,1.43962556
Ind_Contribution_VIVI,South_Goatgrass_2024,-0.001964126
Ind_Contribution_VIVI,Goatgrass_2024,-0.29648183
Ind_Contribution_VIVI,Felch_2024,0.7578662
Ind_Contribution_VIVI,Coyote_24,2.77976835
Ind_Contribution_VIVI,Aikawa_2024,0.8480097
Ind_Contribution_VIVI,Anu_2024,1.9686846
Ind_Contribution_VIVI,Quarry_1_2024,0.3886863
Ind_Contribution_VIVI,Quarry_2_2024,1.2907434
Ind_Contribution_VIVI,Quarry_3_2024,2.09224996
Ind_Contribution_VIVI,Quarry_4_2024,1.3887608
Ind_Contribution_VIVI,Quarry_5_2024,-0.7339886
Ind_Contribution_TRFU,Bertha_2022,1.4224159
Ind_Contribution_TRFU,Quarry_2022,4.169002471
Ind_Contribution_TRFU,Rock_2022,0.7449101
Ind_Contribution_TRFU,Long_2022,3.6805593
Ind_Contribution_TRFU,Goatgrass_2022,2.152157085
Ind_Contribution_TRFU,Aikawa_2022,5.796415
Ind_Contribution_TRFU,Rock_2023,-0.5356303
Ind_Contribution_TRFU,Quarry1_2023,1.2755152
Ind_Contribution_TRFU,Bertha_2023,0.48847661
Ind_Contribution_TRFU,Rock_2024,1.834660617
Ind_Contribution_TRFU,Upper_Grid_2_2024,0.62144267
Ind_Contribution_TRFU,Goatgrass_2024,2.49079873
Ind_Contribution_TRFU,South_Goatgrass_2024,-0.110361103
Ind_Contribution_TRFU,Felch_2024,-0.3072457
Ind_Contribution_TRFU,Coyote_24,1.39380594
Ind_Contribution_TRFU,Aikawa_2024,-0.8375985
Ind_Contribution_TRFU,Anu_2024,4.1048125
Ind_Contribution_TRFU,Quarry_1_2024,-0.8090908
Ind_Contribution_TRFU,Quarry_2_2024,0.1189035
Ind_Contribution_TRFU,Quarry_3_2024,1.78159603
Ind_Contribution_TRFU,Quarry_4_2024,2.0891646
Ind_Contribution_TRFU,Quarry_5_2024,3.2498929
TRFU_on_VIVI,Bertha_2022,0.1586371
TRFU_on_VIVI,Goatgrass_2022,0.03555221
TRFU_on_VIVI,Long_2022,0.1588872
TRFU_on_VIVI,Rock_2022,0.4588406
TRFU_on_VIVI,Aikawa_2022,0.6266414
TRFU_on_VIVI,Quarry_2022,0.5333514
TRFU_on_VIVI,Bertha_2023,0
TRFU_on_VIVI,Rock_2023,0
TRFU_on_VIVI,Rock_2024,0.04700855
TRFU_on_VIVI,Upper_Grid_2_2024,0.02420091
TRFU_on_VIVI,Anu_2024,0.274749
TRFU_on_VIVI,Quarry_1_2024,0.04387626
TRFU_on_VIVI,Quarry_2_2024,0.03500473
TRFU_on_VIVI,Quarry_3_2024,0.09429952
TRFU_on_VIVI,Quarry_4_2024,0.08888889
TRFU_on_VIVI,Quarry_5_2024,0.1111111
TRFU_on_VIVI,Goatgrass_2024,0.1475049
TRFU_on_VIVI,South_Goatgrass_2024,0.01146279
TRFU_on_VIVI,Aikawa_2024,0
TRFU_on_VIVI,Felch_2024,0.1832769
TRFU_on_VIVI,Coyote_24,0.02067472
