"ARTH","extinct_level_A_run1","animal_abundance_run1","sum_extract_run1","extinct_level_A_run2","animal_abundance_run2","sum_extract_run2","source_dataframe","version"
"Acmaeodera_sp.",1,2.36614159936271e-05,0.219302011448565,0,32.7604807715619,0.00500020254248331,"A__2023_spring_full_network_case3_version1","1"
"Apis_mellifera",0,35.5089115987571,0.00499978634079697,0,35.5093076147049,0.00500020403799134,"A__2023_spring_full_network_case3_version1","1"
"Acmaeodera_sp.",1,2.34730311738152e-05,0,1,2.34730311737188e-05,0,"A__2023_spring_nonserpentine_network_case3_version3","3"
"Apis_mellifera",1,0,0,0,0.515151857475355,0,"A__2023_spring_nonserpentine_network_case3_version3","3"
"Acmaeodera_sp.",1,2.36614159936271e-05,0.219302011448565,0,32.7604807715619,0.00500020254248331,"A__2023_spring_serpentine_network_case3_version2","2"
"Apis_mellifera",0,35.5089115987571,0.00499978634079697,0,35.5093076147049,0.00500020403799134,"A__2023_spring_serpentine_network_case3_version2","2"
"Adela_eldorada",0,3.44426064353436,0.005000175469689,0,0.00156962212592311,0.00163669431388906,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"Adela_flammeusella",0,3.92924602534387,0.005000175469689,0,0.00179064018037694,0.00163669431388906,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"Adela_trigrapha",0,4.0118562740297,0.00500017553509273,0,0.109020293199245,0.00374510831416793,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"Andrena_baeriae",0,5.78935742017656,0.00500018325606368,0,0.00883187252010541,0.00227320804831681,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"Andrena_dissona",0,5.45655506485461,0.00500018325606368,0,0.00832417058244353,0.00227320804831681,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"Andrena_pensilis",0,3.27633166492316,0.005000175469689,0,0.00149309335235963,0.00163669431388906,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"Andrena_sp.",0,25.7425078779916,0.00500019123606445,0,25.7439272067103,0.00500022807166216,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"Andrena_subchalybea",0,3.76983300879616,0.005000175469689,0,0.0017179923097944,0.00163669431388906,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"Anthophora_californica",0,9.09122211966506,0.00500018438090536,0,1.1010097822806,0.00457580462757219,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"Apis_mellifera",0,3.753734265258,0.005000175469689,0,0.00171065577409024,0.00163669431388906,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"APME-mimic_Syrphid",0,10.86012312426,0.00500018409832398,0,0.0115266743762038,0.00213616214361017,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"black_white_moth_Lepidoptera",0,4.18305286211426,0.00500017553509273,0,0.113672479345385,0.00374510831416793,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"Bombus_californicus",0,8.9403271057058,0.00500018438090536,0,1.08273535456964,0.00457580462757219,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"Bombus_crotchii",0,5.95576909200479,0.00500018325606368,0,0.00908573950918517,0.00227320804831681,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"Bombus_melanopygus",0,3.63271229017788,0.005000175469689,0,0.00165550351121098,0.00163669431388906,"A_Aikawa_2022_spring_full_network_case3_version1","1"
"Bombus_sp.",0,5.40555039263076,0.00500018325606368,0,0.00824636112655775,0.00227320804831681,"A_Aikawa_2022_spring_full_network_case3_version1","1"
